time,value
2023-09-26T01:11:11.305Z,0
2023-09-26T01:11:12.611Z,0
2023-09-26T01:11:13.606Z,0
2023-09-26T01:11:14.611Z,0
2023-09-26T01:11:15.69Z,0
2023-09-26T01:11:16.819Z,0
2023-09-26T01:11:17.844Z,0
2023-09-26T01:11:18.764Z,0
2023-09-26T01:11:19.764Z,0
2023-09-26T01:11:20.818Z,0
2023-09-26T01:11:21.766Z,0
2023-09-26T01:11:22.764Z,0
2023-09-26T01:11:23.764Z,0
2023-09-26T01:11:24.764Z,0
2023-09-26T01:11:25.765Z,0
2023-09-26T01:11:26.765Z,0
2023-09-26T01:11:27.764Z,0
2023-09-26T01:11:28.787Z,0
2023-09-26T01:11:29.772Z,0
2023-09-26T01:11:30.764Z,0
2023-09-26T01:11:31.77Z,0
2023-09-26T01:11:32.764Z,0
2023-09-26T01:11:33.764Z,0
2023-09-26T01:11:34.786Z,0
2023-09-26T01:11:35.763Z,0
2023-09-26T01:11:36.764Z,0
2023-09-26T01:11:37.763Z,0
2023-09-26T01:11:38.806Z,0
2023-09-26T01:11:39.763Z,0
2023-09-26T01:11:40.764Z,0
2023-09-26T01:11:41.764Z,0
2023-09-26T01:11:42.77Z,0
2023-09-26T01:11:43.764Z,0
2023-09-26T01:11:44.768Z,0
2023-09-26T01:11:45.766Z,0
2023-09-26T01:11:46.77Z,0
2023-09-26T01:11:47.765Z,0
2023-09-26T01:11:48.769Z,0
2023-09-26T01:11:49.764Z,0
2023-09-26T01:11:50.764Z,0
2023-09-26T01:11:51.764Z,0
2023-09-26T01:11:52.766Z,0
2023-09-26T01:11:53.766Z,0
2023-09-26T01:11:54.765Z,0
2023-09-26T01:11:55.766Z,0
2023-09-26T01:11:56.765Z,0
2023-09-26T01:11:57.773Z,0
2023-09-26T01:11:58.768Z,0
2023-09-26T01:11:59.767Z,0
2023-09-26T01:12:00.764Z,0
2023-09-26T01:12:01.766Z,0
2023-09-26T01:12:02.765Z,0
2023-09-26T01:12:03.767Z,0
2023-09-26T01:12:04.765Z,0
2023-09-26T01:12:05.767Z,0
2023-09-26T01:12:06.765Z,0
2023-09-26T01:12:07.765Z,0
2023-09-26T01:12:08.808Z,0
2023-09-26T01:12:09.768Z,0
2023-09-26T01:12:10.765Z,0
2023-09-26T01:12:11.765Z,0
2023-09-26T01:12:12.765Z,0
2023-09-26T01:12:13.767Z,0
2023-09-26T01:12:14.765Z,0
2023-09-26T01:12:15.766Z,0
2023-09-26T01:12:16.767Z,0
2023-09-26T01:12:17.766Z,0
2023-09-26T01:12:18.775Z,0
2023-09-26T01:12:19.766Z,0
2023-09-26T01:12:20.765Z,0
2023-09-26T01:12:21.765Z,0
2023-09-26T01:12:22.766Z,0
2023-09-26T01:12:23.765Z,0
2023-09-26T01:12:24.765Z,0
2023-09-26T01:12:25.768Z,0
2023-09-26T01:12:26.765Z,0
2023-09-26T01:12:27.766Z,0
2023-09-26T01:12:28.771Z,0
2023-09-26T01:12:29.774Z,0
2023-09-26T01:12:30.766Z,0
2023-09-26T01:12:31.769Z,0
2023-09-26T01:12:32.767Z,0
2023-09-26T01:12:33.776Z,0
2023-09-26T01:12:34.765Z,0
2023-09-26T01:12:35.771Z,0
2023-09-26T01:12:36.768Z,0
2023-09-26T01:12:37.766Z,0
2023-09-26T01:12:38.811Z,0
2023-09-26T01:12:39.77Z,0
2023-09-26T01:12:40.769Z,0
2023-09-26T01:12:41.771Z,0
2023-09-26T01:12:42.769Z,0
2023-09-26T01:12:43.766Z,0
2023-09-26T01:12:44.777Z,0
2023-09-26T01:12:45.77Z,0
2023-09-26T01:12:46.769Z,0
2023-09-26T01:12:47.766Z,0
2023-09-26T01:12:48.768Z,0
2023-09-26T01:12:49.766Z,0
2023-09-26T01:12:50.773Z,0
2023-09-26T01:12:51.768Z,0
2023-09-26T01:12:52.769Z,0
2023-09-26T01:12:53.767Z,0
2023-09-26T01:12:54.767Z,0
2023-09-26T01:12:55.768Z,0
2023-09-26T01:12:56.771Z,0
2023-09-26T01:12:57.767Z,0
2023-09-26T01:12:58.767Z,0
2023-09-26T01:12:59.774Z,0
2023-09-26T01:13:00.768Z,0
2023-09-26T01:13:01.768Z,0
2023-09-26T01:13:02.768Z,0
2023-09-26T01:13:03.771Z,0
2023-09-26T01:13:04.769Z,0
2023-09-26T01:13:05.776Z,0
2023-09-26T01:13:06.769Z,0
2023-09-26T01:13:07.769Z,0
2023-09-26T01:13:08.858Z,0
2023-09-26T01:13:09.779Z,0
2023-09-26T01:13:10.772Z,0
2023-09-26T01:13:11.771Z,0
2023-09-26T01:13:12.779Z,0
2023-09-26T01:13:13.781Z,0
2023-09-26T01:13:14.783Z,0
2023-09-26T01:13:15.773Z,0
2023-09-26T01:13:16.791Z,0
2023-09-26T01:13:17.771Z,0
2023-09-26T01:13:18.779Z,0
2023-09-26T01:13:19.776Z,0
2023-09-26T01:13:20.772Z,0
2023-09-26T01:13:21.772Z,0
2023-09-26T01:13:22.785Z,0
2023-09-26T01:13:23.774Z,0
2023-09-26T01:13:24.778Z,0
2023-09-26T01:13:25.772Z,0
2023-09-26T01:13:26.772Z,0
2023-09-26T01:13:27.772Z,0
2023-09-26T01:13:28.775Z,0
2023-09-26T01:13:29.778Z,0
2023-09-26T01:13:30.774Z,0
2023-09-26T01:13:31.777Z,0
2023-09-26T01:13:32.774Z,0
2023-09-26T01:13:33.775Z,0
2023-09-26T01:13:34.772Z,0
2023-09-26T01:13:35.777Z,0
2023-09-26T01:13:36.772Z,0
2023-09-26T01:13:37.772Z,0
2023-09-26T01:13:38.818Z,0
2023-09-26T01:13:39.784Z,0
2023-09-26T01:13:40.772Z,0
2023-09-26T01:13:41.772Z,0
2023-09-26T01:13:42.772Z,0
2023-09-26T01:13:43.772Z,0
2023-09-26T01:13:44.772Z,0
2023-09-26T01:13:45.772Z,0
2023-09-26T01:13:46.775Z,0
2023-09-26T01:13:47.772Z,0
2023-09-26T01:13:48.776Z,0
2023-09-26T01:13:49.772Z,0
2023-09-26T01:13:50.775Z,0
2023-09-26T01:13:51.772Z,0
2023-09-26T01:13:52.787Z,0
2023-09-26T01:13:53.772Z,0
2023-09-26T01:13:54.773Z,0
2023-09-26T01:13:55.773Z,0
2023-09-26T01:13:56.792Z,0
2023-09-26T01:13:57.776Z,0
2023-09-26T01:13:58.779Z,0
2023-09-26T01:13:59.773Z,0
2023-09-26T01:14:00.792Z,0
2023-09-26T01:14:01.778Z,0
2023-09-26T01:14:02.787Z,0
2023-09-26T01:14:03.775Z,0
2023-09-26T01:14:04.773Z,0
2023-09-26T01:14:05.78Z,0
2023-09-26T01:14:06.774Z,0
2023-09-26T01:14:07.773Z,0
2023-09-26T01:14:08.819Z,0
2023-09-26T01:14:09.782Z,0
2023-09-26T01:14:10.773Z,0
2023-09-26T01:14:11.774Z,0
2023-09-26T01:14:12.773Z,0
2023-09-26T01:14:13.78Z,0
2023-09-26T01:14:14.774Z,0
2023-09-26T01:14:15.773Z,0
2023-09-26T01:14:16.78Z,0
2023-09-26T01:14:17.773Z,0
2023-09-26T01:14:18.773Z,0
2023-09-26T01:14:19.775Z,0
2023-09-26T01:14:20.774Z,0
2023-09-26T01:14:21.775Z,0
2023-09-26T01:14:22.778Z,0
2023-09-26T01:14:23.774Z,0
2023-09-26T01:14:24.776Z,0
